datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2006-12-31,41826.7539062,2889.91796875,5310733.0,176651.0,27460.0,48783.0,163022.0
2007-01-31,69014.875,5922.62792969,10754002.0,292253.59375,56433.0,79275.0,329596.0
2007-02-28,56493.765625,4582.11376953,9697749.0,238483.59375,47586.0,64607.0,270310.0
2007-03-31,58864.4726562,5122.3359375,10736518.0,248781.796875,60769.0,104762.0,290378.0
2007-04-30,37780.0742188,5102.86376953,10326369.0,162377.203125,45622.0,39878.0,201183.0
2007-05-31,44008.8710938,5148.89404297,10498362.0,191838.796875,75737.0,72132.0,229448.0
2007-06-30,35763.2578125,6324.99804688,10319411.0,155858.203125,59810.0,70171.0,189533.0
2007-07-31,29830.4335938,5699.06787109,10609960.0,131595.203125,43163.0,56035.0,155038.0
2007-08-31,34100.7929688,5036.04589844,10621423.0,147825.796875,36251.0,49711.0,225442.0
2007-09-30,41882.8125,5444.10986328,10343114.0,180378.0,52916.0,75277.0,226409.0
2007-10-31,49278.421875,4171.61376953,10701362.0,208788.59375,43218.0,87914.0,256080.0
2007-11-30,55921.8085938,4171.14208984,10405555.0,235267.0,50823.0,73667.0,299690.0
2007-12-31,72604.78125,4950.61181641,10790640.0,304420.8125,74090.0,82931.0,362423.0
2008-01-31,65173.1054688,3908.3059082,10742443.0,275961.59375,61762.0,62911.0,312191.0
2008-02-29,49335.5429688,3639.87597656,10047578.0,207728.59375,40192.0,56648.0,255971.0
2008-03-31,55594.3789062,4531.58203125,10772760.0,233693.59375,63148.0,79277.0,279687.0
2008-04-30,48209.9921875,5361.75976562,10420755.0,202913.0,47080.0,70871.0,295678.0
2008-05-31,45722.796875,6896.91796875,10730030.0,195701.59375,53084.0,58908.0,290621.0
2008-06-30,42945.3203125,6550.54785156,10323728.0,185824.59375,68728.0,63449.0,290121.0
2008-07-31,35480.28125,6551.89599609,10703375.0,154623.796875,47313.0,44416.0,227265.0
2008-08-31,12342.3398438,5705.39404297,10732929.0,56405.6015625,3873.0,22264.0,79667.0
2008-09-30,42667.7929688,5399.15380859,10373382.0,181973.40625,52376.0,44590.0,284282.0
2008-10-31,50754.5039062,4717.34619141,10728241.0,214205.40625,44093.0,63242.0,276666.0
2008-11-30,59943.6015625,4377.99609375,10393297.0,253461.0,58267.0,55889.0,280768.0
2008-12-31,56937.3671875,4080.09204102,10851151.0,236861.203125,45107.0,39459.0,308597.0
2009-01-31,62952.8046875,4396.70410156,10882928.0,261911.59375,74651.0,72953.0,329624.0
2009-02-28,50382.125,3883.63793945,9773428.0,210020.0,47819.0,50727.0,296890.0
2009-03-31,54760.609375,4657.54199219,10816436.0,229846.796875,64645.0,48427.0,328697.0
2009-04-30,49279.6171875,5315.41210938,10438550.0,208082.59375,54515.0,52604.0,307877.0
2009-05-31,45211.4960938,5338.35595703,10718908.0,191951.59375,43570.0,50100.0,311051.0
2009-06-30,36049.53125,5782.35791016,10413008.0,154638.59375,33380.0,30887.0,276251.0
2009-07-31,27597.1289062,7488.84619141,10803676.0,121004.203125,18226.0,42528.0,187938.0
2009-08-31,29485.0722656,8397.60839844,10770680.0,130241.203125,34023.0,38607.0,194896.0
2009-09-30,42635.109375,6648.40820312,10417519.0,182005.0,51602.0,46144.0,296602.0
2009-10-31,51090.1601562,5866.59814453,10753512.0,215109.0,54728.0,53729.0,327523.0
2009-11-30,55072.15625,5473.93798828,10452091.0,230439.59375,60445.0,53510.0,335548.0
2009-12-31,60907.9765625,5792.17578125,10895834.0,252742.203125,57803.0,53490.0,383946.0
2010-01-31,63588.6992188,5638.35986328,10873398.0,264219.0,57493.0,64008.0,421978.0
2010-02-28,55475.6367188,4130.26806641,9771473.0,230463.40625,49268.0,53592.0,411750.0
2010-03-31,50558.6132812,5582.78222656,10800893.0,211548.59375,35089.0,61613.0,345630.0
2010-04-30,44378.6484375,5393.70019531,10445017.0,185982.40625,38196.0,36476.0,336092.0
2010-05-31,48894.8359375,5454.26416016,10730082.0,206727.40625,48107.0,52376.0,364644.0
2010-06-30,41887.2109375,6484.99804688,10404371.0,180109.59375,65747.0,47676.0,306953.0
2010-07-31,32188.9472656,7386.94580078,10738065.0,139761.40625,17667.0,34359.0,192912.0
2010-08-31,28227.9804688,5586.82617188,10766724.0,121846.0,17199.0,30888.0,190186.0
2010-09-30,41188.1992188,5426.4140625,10416490.0,175141.40625,43687.0,35166.0,292733.0
2010-10-31,51934.8671875,6140.79980469,10809994.0,218248.59375,48201.0,60222.0,315688.0
2010-11-30,44598.3867188,4128.70800781,8970020.0,188465.40625,46162.0,42282.0,247113.0
